EVBDD
L 25
T 2
N 32630
R 1
S 1
; level 1
13943 0 0	14878 0 0	; 21040
14879 0 0	14880 0 1	; 21041
13943 0 0	14881 0 1	; 21042
14882 0 0	14883 0 1	; 21043
14884 0 0	14885 0 1	; 21044
13943 0 0	14886 0 1	; 21045
14887 0 1	14888 0 1	; 21046
14889 0 0	14890 0 1	; 21047
14888 0 1	14891 0 1	; 21048
14890 0 1	14892 0 1	; 21049
14885 0 1	14893 0 0	; 21050
13943 0 0	14894 0 1	; 21051
14895 0 0	14896 0 1	; 21052
13953 0 0	14897 0 1	; 21053
14898 0 0	14899 0 1	; 21054
14900 0 0	14901 0 0	; 21055
14902 0 0	14903 0 1	; 21056
13956 0 1	14897 0 1	; 21057
14883 0 1	14904 0 0	; 21058
13959 0 1	14878 0 0	; 21059
14896 0 1	14905 0 0	; 21060
13962 0 1	14897 0 1	; 21061
14888 0 1	14906 0 0	; 21062
13992 0 0	14907 0 1	; 21063
14908 0 0	14909 0 1	; 21064
14910 0 1	14911 0 1	; 21065
14885 0 1	14912 0 0	; 21066
13971 0 1	14878 0 0	; 21067
14913 0 0	14914 0 1	; 21068
13975 0 0	14915 0 0	; 21069
14916 0 0	14917 0 1	; 21070
14918 0 0	14919 0 1	; 21071
14920 0 0	14921 0 0	; 21072
14881 0 1	14922 0 0	; 21073
14923 0 0	14924 0 1	; 21074
13988 0 0	14925 0 0	; 21075
14920 0 0	14926 0 1	; 21076
13965 0 1	14886 0 1	; 21077
14920 0 0	14927 0 1	; 21078
13971 0 1	14894 0 1	; 21079
14920 0 0	14928 0 1	; 21080
14929 0 0	14930 0 1	; 21081
14929 0 0	14931 0 1	; 21082
14001 0 1	14897 0 1	; 21083
14929 0 0	14932 0 1	; 21084
14920 0 0	14933 0 1	; 21085
14929 0 0	14934 0 1	; 21086
14929 0 0	14935 0 0	; 21087
14929 0 0	14936 0 0	; 21088
14920 0 0	14937 0 1	; 21089
14938 0 0	14939 0 1	; 21090
14017 0 0	14940 0 0	; 21091
14885 0 1	14941 0 0	; 21092
14020 0 1	14942 0 1	; 21093
14888 0 1	14943 0 0	; 21094
13992 0 0	14944 0 1	; 21095
13994 0 1	14945 0 1	; 21096
14946 0 0	14947 0 1	; 21097
14948 0 0	14949 0 1	; 21098
14880 0 1	14920 0 0	; 21099
13959 0 1	14950 0 1	; 21100
14883 0 1	14920 0 0	; 21101
13959 0 1	14951 0 1	; 21102
13943 0 0	14952 0 1	; 21103
14896 0 1	14929 0 0	; 21104
13953 0 0	14953 0 0	; 21105
14929 0 0	14954 0 1	; 21106
14033 0 1	14955 0 0	; 21107
13962 0 1	14956 0 0	; 21108
14885 0 1	14920 0 0	; 21109
13971 0 1	14957 0 0	; 21110
13953 0 0	14958 0 0	; 21111
13959 0 1	14959 0 0	; 21112
13956 0 1	14960 0 0	; 21113
13943 0 0	14961 0 0	; 21114
14962 0 0	14963 0 1	; 21115
14046 0 0	14964 0 0	; 21116
14965 0 1	14966 0 1	; 21117
14967 0 1	14968 0 1	; 21118
14969 0 0	14970 0 1	; 21119
14053 0 1	14971 0 1	; 21120
14055 0 1	14892 0 1	; 21121
14972 0 0	14973 0 1	; 21122
14059 0 0	14974 0 0	; 21123
14061 0 1	14881 0 1	; 21124
14881 0 1	14975 0 1	; 21125
14063 0 1	14878 0 0	; 21126
14064 0 0	14897 0 1	; 21127
14066 0 0	14897 0 1	; 21128
14067 0 0	14897 0 1	; 21129
14068 0 0	14897 0 1	; 21130
14069 0 0	14897 0 1	; 21131
14070 0 0	14897 0 1	; 21132
14071 0 0	14897 0 1	; 21133
14878 0 0	14976 0 0	; 21134
14977 0 1	14978 0 1	; 21135
14979 0 1	14980 0 1	; 21136
14981 0 1	14982 0 1	; 21137
14983 0 0	14984 0 0	; 21138
14985 0 1	14986 0 1	; 21139
14984 0 0	14987 0 1	; 21140
14988 0 1	14989 0 1	; 21141
14990 0 1	14991 0 1	; 21142
14992 0 1	14993 0 1	; 21143
14989 0 1	14994 0 1	; 21144
14984 0 0	14995 0 1	; 21145
14991 0 1	14996 0 1	; 21146
13727 0 1	14993 0 1	; 21147
14989 0 1	14997 0 1	; 21148
14998 0 0	14999 0 1	; 21149
15000 0 1	15001 0 1	; 21150
15002 0 0	15003 0 0	; 21151
15004 0 0	15005 0 1	; 21152
15006 0 1	15007 0 1	; 21153
14989 0 1	15008 0 0	; 21154
15009 0 0	15010 0 1	; 21155
15011 0 1	15012 0 1	; 21156
14989 0 1	15013 0 0	; 21157
14987 0 1	15014 0 1	; 21158
15010 0 1	15015 0 0	; 21159
15011 0 1	15016 0 1	; 21160
14989 0 1	15017 0 0	; 21161
15018 0 0	15019 0 0	; 21162
15020 0 1	15021 0 1	; 21163
15022 0 0	15023 0 0	; 21164
15024 0 0	15025 0 0	; 21165
15026 0 0	15027 0 1	; 21166
15028 0 0	15029 0 1	; 21167
15030 0 1	15031 0 1	; 21168
15026 0 0	15032 0 1	; 21169
14995 0 1	15014 0 1	; 21170
15026 0 0	15033 0 1	; 21171
15034 0 1	15035 0 1	; 21172
15026 0 0	15036 0 1	; 21173
15028 0 0	15037 0 0	; 21174
15000 0 1	15038 0 1	; 21175
15028 0 0	15039 0 0	; 21176
15028 0 0	15040 0 0	; 21177
15000 0 1	15007 0 1	; 21178
15028 0 0	15041 0 1	; 21179
15028 0 0	15042 0 0	; 21180
15028 0 0	15043 0 0	; 21181
15028 0 0	15044 0 0	; 21182
15026 0 0	15045 0 1	; 21183
15046 0 0	15047 0 0	; 21184
15048 0 1	15049 0 1	; 21185
14991 0 1	15050 0 0	; 21186
15051 0 1	15052 0 1	; 21187
14989 0 1	15053 0 0	; 21188
15054 0 1	15055 0 1	; 21189
14989 0 1	15026 0 0	; 21190
14984 0 0	15056 0 1	; 21191
15003 0 0	15028 0 0	; 21192
15001 0 1	15057 0 1	; 21193
14982 0 1	15026 0 0	; 21194
14984 0 0	15058 0 1	; 21195
15026 0 0	15059 0 1	; 21196
15060 0 1	15061 0 1	; 21197
14984 0 0	15062 0 1	; 21198
15028 0 0	15063 0 1	; 21199
15064 0 1	15065 0 1	; 21200
15031 0 1	15066 0 1	; 21201
15028 0 0	15067 0 1	; 21202
15068 0 1	15069 0 1	; 21203
14984 0 0	15070 0 0	; 21204
15001 0 1	15071 0 1	; 21205
15038 0 1	15072 0 1	; 21206
15001 0 1	15073 0 1	; 21207
14984 0 0	15074 0 0	; 21208
15075 0 0	15076 0 1	; 21209
15077 0 1	15078 0 1	; 21210
14992 0 1	15079 0 1	; 21211
15067 0 1	15080 0 1	; 21212
15081 0 1	15082 0 1	; 21213
14987 0 1	15083 0 1	; 21214
15084 0 1	15085 0 1	; 21215
14987 0 1	15086 0 1	; 21216
14999 0 1	15028 0 0	; 21217
15084 0 1	15087 0 1	; 21218
14987 0 1	15088 0 1	; 21219
15000 0 1	15089 0 1	; 21220
15000 0 1	15090 0 1	; 21221
15000 0 1	15091 0 1	; 21222
15000 0 1	15092 0 1	; 21223
15000 0 1	15093 0 1	; 21224
15000 0 1	15094 0 1	; 21225
15000 0 1	15095 0 1	; 21226
15000 0 1	15096 0 1	; 21227
15097 0 0	15098 0 0	; 21228
15099 0 0	15100 0 0	; 21229
15101 0 0	15102 0 0	; 21230
15103 0 0	15104 0 1	; 21231
15105 0 1	15106 0 1	; 21232
15104 0 1	15107 0 1	; 21233
15108 0 1	15109 0 1	; 21234
15106 0 1	15110 0 1	; 21235
15111 0 1	15112 0 0	; 21236
15113 0 0	15114 0 0	; 21237
15106 0 1	15115 0 1	; 21238
15104 0 1	15116 0 1	; 21239
15112 0 0	15117 0 1	; 21240
15114 0 0	15118 0 1	; 21241
15119 0 0	15120 0 1	; 21242
15121 0 1	15122 0 1	; 21243
15102 0 0	15123 0 0	; 21244
15107 0 1	15124 0 1	; 21245
15120 0 1	15125 0 0	; 21246
15126 0 0	15127 0 1	; 21247
15128 0 0	15129 0 0	; 21248
15120 0 1	15130 0 0	; 21249
15112 0 0	15131 0 0	; 21250
15132 0 1	15133 0 1	; 21251
15120 0 1	15134 0 0	; 21252
15121 0 1	15135 0 1	; 21253
15112 0 0	15136 0 0	; 21254
15132 0 1	15137 0 1	; 21255
15138 0 0	15139 0 0	; 21256
15140 0 0	15141 0 0	; 21257
15142 0 1	15143 0 1	; 21258
15103 0 0	15124 0 1	; 21259
15142 0 1	15144 0 1	; 21260
15145 0 0	15146 0 0	; 21261
15147 0 0	15148 0 0	; 21262
15142 0 1	15149 0 1	; 21263
15150 0 1	15151 0 1	; 21264
15142 0 1	15152 0 1	; 21265
15116 0 1	15153 0 1	; 21266
15142 0 1	15154 0 1	; 21267
15155 0 0	15156 0 0	; 21268
15155 0 0	15157 0 0	; 21269
15155 0 0	15158 0 0	; 21270
15142 0 1	15159 0 0	; 21271
15107 0 1	15129 0 0	; 21272
15155 0 0	15160 0 0	; 21273
15155 0 0	15161 0 0	; 21274
15155 0 0	15162 0 0	; 21275
15142 0 1	15163 0 0	; 21276
15164 0 0	15165 0 0	; 21277
15166 0 0	15167 0 0	; 21278
15112 0 0	15168 0 0	; 21279
15137 0 1	15169 0 1	; 21280
15106 0 1	15142 0 1	; 21281
15104 0 1	15170 0 1	; 21282
15106 0 1	15171 0 0	; 21283
15172 0 1	15173 0 1	; 21284
15174 0 0	15175 0 0	; 21285
15176 0 0	15177 0 0	; 21286
15142 0 1	15178 0 1	; 21287
15124 0 1	15179 0 1	; 21288
15102 0 0	15142 0 1	; 21289
15104 0 1	15180 0 1	; 21290
15124 0 1	15181 0 1	; 21291
15120 0 1	15155 0 0	; 21292
15122 0 1	15182 0 0	; 21293
15135 0 1	15183 0 0	; 21294
15122 0 1	15184 0 0	; 21295
15142 0 1	15185 0 1	; 21296
15186 0 0	15187 0 1	; 21297
15122 0 1	15188 0 0	; 21298
15124 0 1	15189 0 0	; 21299
15122 0 1	15190 0 0	; 21300
15124 0 1	15191 0 0	; 21301
15192 0 0	15193 0 0	; 21302
15194 0 0	15195 0 0	; 21303
15118 0 1	15196 0 1	; 21304
15121 0 1	15197 0 1	; 21305
15185 0 1	15198 0 1	; 21306
15199 0 1	15200 0 1	; 21307
14314 0 0	15121 0 1	; 21308
15103 0 0	15201 0 1	; 21309
15107 0 1	15202 0 1	; 21310
15103 0 0	15203 0 1	; 21311
15121 0 1	15204 0 0	; 21312
15121 0 1	15205 0 0	; 21313
15121 0 1	15206 0 0	; 21314
15121 0 1	15207 0 0	; 21315
15121 0 1	15208 0 0	; 21316
15121 0 1	15209 0 0	; 21317
15121 0 1	15210 0 0	; 21318
15107 0 1	15211 0 0	; 21319
15212 0 0	15213 0 0	; 21320
15214 0 0	15215 0 1	; 21321
13802 0 0	15216 0 1	; 21322
13804 0 0	15217 0 0	; 21323
15212 0 0	15218 0 0	; 21324
15219 0 0	15220 0 1	; 21325
15212 0 0	15221 0 1	; 21326
15222 0 1	15223 0 0	; 21327
15220 0 1	15224 0 0	; 21328
13803 0 0	15225 0 1	; 21329
13799 0 0	15226 0 1	; 21330
15227 0 1	15228 0 1	; 21331
15229 0 0	15230 0 1	; 21332
15222 0 1	15231 0 1	; 21333
15232 0 0	15233 0 1	; 21334
15214 0 0	15234 0 1	; 21335
15232 0 0	15235 0 0	; 21336
15222 0 1	15236 0 1	; 21337
15214 0 0	15237 0 1	; 21338
15232 0 0	15238 0 0	; 21339
15222 0 1	15239 0 1	; 21340
15232 0 0	15240 0 0	; 21341
15232 0 0	15241 0 0	; 21342
15232 0 0	15242 0 1	; 21343
15232 0 0	15243 0 1	; 21344
15222 0 1	15228 0 1	; 21345
15232 0 0	15244 0 0	; 21346
15232 0 0	15245 0 0	; 21347
15230 0 1	15232 0 0	; 21348
15231 0 1	15246 0 0	; 21349
15221 0 1	15232 0 0	; 21350
15247 0 0	15248 0 1	; 21351
15231 0 1	15249 0 0	; 21352
15239 0 1	15250 0 1	; 21353
15231 0 1	15251 0 0	; 21354
15232 0 0	15252 0 1	; 21355
15253 0 1	15254 0 1	; 21356
15239 0 1	15255 0 0	; 21357
15223 0 0	15256 0 0	; 21358
15222 0 1	15257 0 1	; 21359
15232 0 0	15258 0 1	; 21360
15222 0 1	15259 0 0	; 21361
13555 0 0	15252 0 1	; 21362
15227 0 1	15260 0 1	; 21363
14859 0 0	15220 0 1	; 21364
13803 0 0	15261 0 1	; 21365
15222 0 1	15262 0 1	; 21366
15222 0 1	15263 0 1	; 21367
15222 0 1	15264 0 1	; 21368
15222 0 1	15265 0 1	; 21369
15222 0 1	15266 0 1	; 21370
15222 0 1	15267 0 1	; 21371
15222 0 1	15268 0 1	; 21372
15222 0 1	15269 0 1	; 21373
15270 0 0	15271 0 0	; 21374
15272 0 0	15273 0 0	; 21375
15274 0 1	15275 0 1	; 21376
15276 0 1	15277 0 1	; 21377
15278 0 0	15279 0 0	; 21378
15280 0 0	15281 0 1	; 21379
15275 0 1	15282 0 1	; 21380
15277 0 1	15283 0 1	; 21381
15279 0 0	15284 0 1	; 21382
15281 0 1	15285 0 1	; 21383
15286 0 1	15287 0 1	; 21384
15288 0 1	15289 0 1	; 21385
15281 0 1	15290 0 1	; 21386
15291 0 1	15292 0 1	; 21387
15293 0 0	15294 0 1	; 21388
15295 0 1	15296 0 1	; 21389
15275 0 1	15297 0 0	; 21390
15298 0 1	15299 0 1	; 21391
15294 0 1	15300 0 0	; 21392
15295 0 1	15301 0 1	; 21393
15275 0 1	15302 0 0	; 21394
15298 0 1	15303 0 1	; 21395
15294 0 1	15304 0 0	; 21396
15305 0 0	15306 0 1	; 21397
15307 0 0	15308 0 1	; 21398
15309 0 0	15310 0 1	; 21399
15295 0 1	15311 0 1	; 21400
15292 0 1	15312 0 0	; 21401
15285 0 1	15313 0 1	; 21402
15314 0 0	15315 0 0	; 21403
15316 0 0	15317 0 0	; 21404
15318 0 1	15319 0 1	; 21405
15320 0 1	15321 0 1	; 21406
15322 0 0	15323 0 0	; 21407
15324 0 0	15325 0 0	; 21408
15318 0 1	15326 0 1	; 21409
15280 0 0	15327 0 1	; 21410
15328 0 0	15329 0 0	; 21411
15330 0 0	15331 0 0	; 21412
15318 0 1	15332 0 1	; 21413
15290 0 1	15313 0 1	; 21414
15318 0 1	15333 0 1	; 21415
15334 0 0	15335 0 0	; 21416
15334 0 0	15336 0 0	; 21417
15334 0 0	15337 0 0	; 21418
15318 0 1	15338 0 0	; 21419
15334 0 0	15339 0 0	; 21420
15334 0 0	15340 0 0	; 21421
15295 0 1	15341 0 1	; 21422
15334 0 0	15342 0 0	; 21423
15318 0 1	15343 0 0	; 21424
15344 0 0	15345 0 0	; 21425
15346 0 0	15347 0 0	; 21426
15292 0 1	15318 0 1	; 21427
15313 0 1	15348 0 1	; 21428
15289 0 1	15318 0 1	; 21429
15281 0 1	15349 0 1	; 21430
15313 0 1	15350 0 1	; 21431
15351 0 0	15352 0 0	; 21432
15353 0 0	15354 0 0	; 21433
15279 0 0	15355 0 0	; 21434
15356 0 1	15357 0 1	; 21435
15275 0 1	15358 0 0	; 21436
15303 0 1	15359 0 1	; 21437
15299 0 1	15360 0 1	; 21438
15294 0 1	15334 0 0	; 21439
15296 0 1	15361 0 0	; 21440
15311 0 1	15362 0 0	; 21441
15296 0 1	15363 0 0	; 21442
15279 0 0	15318 0 1	; 21443
15313 0 1	15364 0 0	; 21444
15296 0 1	15365 0 0	; 21445
15318 0 1	15366 0 1	; 21446
15367 0 0	15368 0 1	; 21447
15301 0 1	15369 0 0	; 21448
15321 0 1	15370 0 0	; 21449
15371 0 0	15372 0 0	; 21450
15373 0 0	15374 0 0	; 21451
15290 0 1	15375 0 1	; 21452
15310 0 1	15334 0 0	; 21453
14552 0 0	15295 0 1	; 21454
15290 0 1	15376 0 1	; 21455
15377 0 0	15378 0 0	; 21456
15379 0 0	15380 0 0	; 21457
15366 0 1	15381 0 1	; 21458
15382 0 1	15383 0 1	; 21459
15283 0 1	15384 0 1	; 21460
15276 0 1	15385 0 1	; 21461
15295 0 1	15386 0 0	; 21462
15295 0 1	15387 0 0	; 21463
15295 0 1	15388 0 0	; 21464
15295 0 1	15389 0 0	; 21465
15295 0 1	15390 0 0	; 21466
15295 0 1	15391 0 0	; 21467
15295 0 1	15392 0 0	; 21468
15285 0 1	15393 0 0	; 21469
15394 0 0	15395 0 0	; 21470
15396 0 0	15397 0 0	; 21471
15398 0 1	15399 0 1	; 21472
15400 0 0	15401 0 1	; 21473
15399 0 1	15402 0 1	; 21474
15401 0 1	15403 0 1	; 21475
15404 0 0	15405 0 0	; 21476
15406 0 0	15407 0 0	; 21477
15408 0 0	15409 0 1	; 21478
15407 0 0	15410 0 1	; 21479
15411 0 0	15412 0 1	; 21480
15413 0 0	15414 0 1	; 21481
15407 0 0	15415 0 1	; 21482
15405 0 0	15416 0 0	; 21483
15417 0 0	15418 0 1	; 21484
15419 0 1	15420 0 0	; 21485
15399 0 1	15421 0 0	; 21486
15422 0 1	15423 0 1	; 21487
15424 0 0	15425 0 1	; 21488
14616 0 1	15426 0 1	; 21489
15405 0 0	15427 0 0	; 21490
15415 0 1	15428 0 1	; 21491
15429 0 0	15430 0 1	; 21492
15419 0 1	15431 0 1	; 21493
15412 0 1	15432 0 0	; 21494
15415 0 1	15433 0 1	; 21495
15434 0 0	15435 0 1	; 21496
15436 0 1	15437 0 1	; 21497
15405 0 0	15438 0 0	; 21498
15439 0 0	15440 0 0	; 21499
15441 0 0	15442 0 0	; 21500
15443 0 0	15444 0 1	; 21501
15445 0 1	15446 0 1	; 21502
15443 0 0	15447 0 1	; 21503
15406 0 0	15428 0 1	; 21504
15443 0 0	15448 0 1	; 21505
15449 0 0	15450 0 0	; 21506
15451 0 0	15452 0 0	; 21507
15453 0 0	15454 0 0	; 21508
15455 0 0	15456 0 0	; 21509
15443 0 0	15457 0 1	; 21510
15458 0 1	15459 0 0	; 21511
15419 0 1	15460 0 1	; 21512
15458 0 1	15461 0 0	; 21513
15458 0 1	15462 0 0	; 21514
15443 0 0	15463 0 0	; 21515
15458 0 1	15464 0 0	; 21516
15458 0 1	15465 0 0	; 21517
15458 0 1	15466 0 0	; 21518
15419 0 1	15437 0 1	; 21519
15443 0 0	15467 0 0	; 21520
15468 0 0	15469 0 0	; 21521
15470 0 0	15471 0 0	; 21522
15409 0 1	15443 0 0	; 21523
15433 0 1	15472 0 1	; 21524
15412 0 1	15443 0 0	; 21525
15433 0 1	15473 0 1	; 21526
15407 0 0	15474 0 1	; 21527
15475 0 0	15476 0 0	; 21528
15477 0 0	15478 0 0	; 21529
15399 0 1	15479 0 0	; 21530
15480 0 1	15481 0 1	; 21531
15405 0 0	15482 0 0	; 21532
15483 0 1	15484 0 1	; 21533
15405 0 0	15443 0 0	; 21534
15407 0 0	15485 0 1	; 21535
15418 0 1	15458 0 1	; 21536
15460 0 1	15486 0 0	; 21537
15431 0 1	15487 0 0	; 21538
15431 0 1	15488 0 0	; 21539
15407 0 0	15489 0 0	; 21540
15420 0 0	15490 0 0	; 21541
15428 0 1	15491 0 0	; 21542
15458 0 1	15492 0 1	; 21543
15493 0 0	15494 0 1	; 21544
15407 0 0	15495 0 0	; 21545
15496 0 0	15497 0 0	; 21546
15498 0 0	15499 0 0	; 21547
15410 0 1	15500 0 1	; 21548
15458 0 1	15501 0 1	; 21549
15502 0 1	15503 0 1	; 21550
15415 0 1	15504 0 1	; 21551
15505 0 1	15506 0 1	; 21552
15507 0 1	15508 0 1	; 21553
15403 0 1	15509 0 1	; 21554
15510 0 1	15511 0 1	; 21555
15512 0 0	15513 0 1	; 21556
15415 0 1	15514 0 1	; 21557
15419 0 1	15515 0 0	; 21558
15419 0 1	15516 0 0	; 21559
15419 0 1	15517 0 0	; 21560
15419 0 1	15518 0 0	; 21561
15419 0 1	15519 0 0	; 21562
15419 0 1	15520 0 0	; 21563
15419 0 1	15521 0 0	; 21564
15415 0 1	15522 0 0	; 21565
15523 0 1	15524 0 1	; 21566
15525 0 1	15526 0 1	; 21567
15527 0 0	15528 0 0	; 21568
15529 0 0	15530 0 1	; 21569
15528 0 0	15531 0 1	; 21570
15530 0 1	15532 0 1	; 21571
15533 0 1	15534 0 1	; 21572
15535 0 1	15536 0 1	; 21573
15528 0 0	15537 0 1	; 21574
15538 0 1	15539 0 1	; 21575
15530 0 1	15540 0 1	; 21576
15528 0 0	15541 0 1	; 21577
15539 0 1	15542 0 0	; 21578
15543 0 0	15544 0 1	; 21579
15545 0 1	15546 0 1	; 21580
15528 0 0	15547 0 0	; 21581
15532 0 1	15548 0 1	; 21582
15544 0 1	15549 0 0	; 21583
15534 0 1	15550 0 0	; 21584
15544 0 1	15551 0 0	; 21585
15539 0 1	15552 0 0	; 21586
15532 0 1	15553 0 1	; 21587
15544 0 1	15554 0 0	; 21588
15555 0 0	15556 0 1	; 21589
15557 0 1	15558 0 1	; 21590
15559 0 0	15560 0 0	; 21591
15561 0 1	15562 0 1	; 21592
15563 0 0	15564 0 1	; 21593
15529 0 0	15548 0 1	; 21594
15563 0 0	15565 0 1	; 21595
15563 0 0	15566 0 1	; 21596
15567 0 0	15568 0 1	; 21597
15569 0 0	15570 0 0	; 21598
15571 0 0	15572 0 0	; 21599
15563 0 0	15573 0 1	; 21600
15567 0 0	15574 0 0	; 21601
15567 0 0	15575 0 0	; 21602
15567 0 0	15576 0 0	; 21603
15563 0 0	15577 0 0	; 21604
15567 0 0	15578 0 0	; 21605
15567 0 0	15579 0 0	; 21606
15567 0 0	15580 0 0	; 21607
15563 0 0	15581 0 0	; 21608
15532 0 1	15558 0 1	; 21609
15582 0 0	15583 0 0	; 21610
15584 0 0	15585 0 0	; 21611
15539 0 1	15563 0 0	; 21612
15530 0 1	15586 0 1	; 21613
15528 0 0	15563 0 0	; 21614
15530 0 1	15587 0 1	; 21615
15553 0 1	15588 0 1	; 21616
15530 0 1	15589 0 1	; 21617
15534 0 1	15590 0 0	; 21618
15591 0 1	15592 0 1	; 21619
15530 0 1	15593 0 1	; 21620
15528 0 0	15594 0 0	; 21621
15548 0 1	15595 0 1	; 21622
15544 0 1	15567 0 0	; 21623
15546 0 1	15596 0 0	; 21624
15546 0 1	15597 0 0	; 21625
15546 0 1	15598 0 0	; 21626
15553 0 1	15599 0 0	; 21627
15546 0 1	15600 0 0	; 21628
15548 0 1	15601 0 0	; 21629
15546 0 1	15602 0 0	; 21630
15563 0 0	15603 0 1	; 21631
15604 0 0	15605 0 1	; 21632
14791 0 0	15545 0 1	; 21633
15532 0 1	15606 0 1	; 21634
15545 0 1	15607 0 1	; 21635
15540 0 1	15608 0 1	; 21636
15545 0 1	15609 0 1	; 21637
15610 0 1	15611 0 1	; 21638
15532 0 1	15612 0 1	; 21639
15603 0 1	15613 0 1	; 21640
15614 0 1	15615 0 1	; 21641
15545 0 1	15616 0 0	; 21642
15545 0 1	15617 0 0	; 21643
15545 0 1	15618 0 0	; 21644
15545 0 1	15619 0 0	; 21645
15545 0 1	15620 0 0	; 21646
15545 0 1	15621 0 0	; 21647
15545 0 1	15622 0 0	; 21648
15532 0 1	15623 0 0	; 21649
15624 0 0	15625 0 0	; 21650
15626 0 0	15627 0 0	; 21651
15628 0 0	15629 0 0	; 21652
15630 0 0	15631 0 0	; 21653
15629 0 0	15632 0 1	; 21654
15629 0 0	15633 0 1	; 21655
15629 0 0	15634 0 0	; 21656
15629 0 0	15635 0 0	; 21657
15629 0 0	15636 0 1	; 21658
15629 0 0	15637 0 1	; 21659
15638 0 0	15639 0 0	; 21660
13860 0 0	15640 0 0	; 21661
15641 0 0	15642 0 0	; 21662
15643 0 1	15644 0 0	; 21663
15645 0 0	15646 0 0	; 21664
15644 0 0	15647 0 0	; 21665
15629 0 0	15648 0 0	; 21666
15649 0 0	15650 0 0	; 21667
15651 0 1	15652 0 0	; 21668
15629 0 0	15653 0 0	; 21669
15642 0 0	15654 0 0	; 21670
15644 0 0	15655 0 0	; 21671
15629 0 0	15656 0 0	; 21672
15657 0 0	15658 0 0	; 21673
13860 0 0	15644 0 0	; 21674
15659 0 0	15660 0 1	; 21675
15657 0 0	15661 0 1	; 21676
15659 0 0	15662 0 1	; 21677
15657 0 0	15663 0 1	; 21678
15659 0 0	15664 0 1	; 21679
15659 0 0	15665 0 1	; 21680
15659 0 0	15666 0 1	; 21681
15657 0 0	15667 0 0	; 21682
15668 0 0	15669 0 0	; 21683
15670 0 1	15671 0 0	; 21684
15657 0 0	15672 0 0	; 21685
15657 0 0	15673 0 0	; 21686
15657 0 0	15674 0 0	; 21687
15657 0 0	15675 0 0	; 21688
15655 0 0	15676 0 0	; 21689
15659 0 0	15677 0 0	; 21690
14836 0 0	15678 0 0	; 21691
15679 0 0	15680 0 0	; 21692
15629 0 0	15659 0 0	; 21693
15631 0 0	15681 0 1	; 21694
15631 0 0	15682 0 1	; 21695
15631 0 0	15683 0 1	; 21696
15642 0 0	15657 0 0	; 21697
15644 0 0	15684 0 1	; 21698
15631 0 0	15685 0 1	; 21699
15631 0 0	15686 0 1	; 21700
15631 0 0	15687 0 1	; 21701
15688 0 0	15689 0 0	; 21702
15690 0 0	15691 0 0	; 21703
15644 0 0	15692 0 0	; 21704
15650 0 0	15693 0 0	; 21705
15694 0 0	15695 0 0	; 21706
15631 0 0	15696 0 0	; 21707
15697 0 0	15698 0 0	; 21708
15644 0 0	15699 0 0	; 21709
15646 0 0	15657 0 0	; 21710
15644 0 0	15700 0 0	; 21711
15631 0 0	15701 0 0	; 21712
15657 0 0	15689 0 0	; 21713
15702 0 0	15703 0 1	; 21714
15630 0 0	15704 0 1	; 21715
15655 0 0	15705 0 1	; 21716
15630 0 0	15706 0 1	; 21717
15647 0 0	15707 0 1	; 21718
15630 0 0	15708 0 1	; 21719
15643 0 1	15709 0 1	; 21720
15630 0 0	15710 0 1	; 21721
15655 0 0	15711 0 0	; 21722
15643 0 1	15712 0 0	; 21723
15713 0 0	15714 0 0	; 21724
15643 0 1	15715 0 0	; 21725
15647 0 0	15716 0 0	; 21726
15643 0 1	15717 0 0	; 21727
15643 0 1	15718 0 0	; 21728
15643 0 1	15719 0 0	; 21729
15720 0 0	15721 0 0	; 21730
15722 0 0	15723 0 0	; 21731
15724 0 0	15725 0 0	; 21732
15726 0 0	15727 0 0	; 21733
15725 0 0	15728 0 0	; 21734
15725 0 0	15729 0 0	; 21735
15725 0 0	15730 0 0	; 21736
15725 0 0	15731 0 1	; 21737
15725 0 0	15732 0 0	; 21738
15725 0 0	15733 0 1	; 21739
15734 0 0	15735 0 0	; 21740
15736 0 0	15737 0 0	; 21741
15738 0 0	15739 0 0	; 21742
15740 0 1	15741 0 1	; 21743
15742 0 0	15743 0 0	; 21744
15737 0 0	15744 0 0	; 21745
15745 0 0	15746 0 0	; 21746
15727 0 0	15747 0 0	; 21747
15735 0 0	15748 0 0	; 21748
15737 0 0	15749 0 0	; 21749
15750 0 0	15751 0 0	; 21750
15752 0 0	15753 0 0	; 21751
15754 0 0	15755 0 0	; 21752
15756 0 0	15757 0 0	; 21753
15725 0 0	15758 0 0	; 21754
15727 0 0	15759 0 0	; 21755
15760 0 0	15761 0 0	; 21756
15762 0 0	15763 0 0	; 21757
15764 0 0	15765 0 1	; 21758
15727 0 0	15766 0 0	; 21759
15767 0 0	15768 0 1	; 21760
15769 0 0	15770 0 1	; 21761
15771 0 0	15772 0 0	; 21762
15773 0 0	15774 0 0	; 21763
15769 0 0	15775 0 1	; 21764
15769 0 0	15776 0 1	; 21765
15769 0 0	15777 0 1	; 21766
15767 0 0	15778 0 0	; 21767
15767 0 0	15779 0 0	; 21768
15744 0 0	15780 0 0	; 21769
15767 0 0	15781 0 0	; 21770
15767 0 0	15782 0 0	; 21771
15749 0 0	15783 0 0	; 21772
15767 0 0	15784 0 0	; 21773
15767 0 0	15785 0 0	; 21774
